concept_en,concept_de,feature_en_en,feature_de,feature_de_en,freq_en,freq_de,total_en,total_other,frac_en,frac_de,diff
coconut,Kokos,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",20.0,4.0,80.0,19.0,0.25,0.21052631578947367,-0.03947368421052633
snow,Schnee,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",50.0,16.0,50.0,17.0,1.0,0.9411764705882353,-0.05882352941176472
bear,Bär,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",11.0,2.0,54.0,14.0,0.2037037037037037,0.14285714285714285,-0.06084656084656084
flame,Feuer,blue,blau,"['blue', 'blueness']",4.0,1.0,23.0,9.0,0.17391304347826086,0.1111111111111111,-0.06280193236714976
tea,Tee,green,grün,"['green', 'viridity', 'greenness']",2.0,2.0,5.0,6.0,0.4,0.3333333333333333,-0.06666666666666671
cabbage,Kohl,green,grün,"['green', 'viridity', 'greenness']",91.0,6.0,98.0,7.0,0.9285714285714286,0.8571428571428571,-0.07142857142857151
banana,Banane,yellow,gelb,"['yellow', 'yellowness']",48.0,16.0,55.0,20.0,0.8727272727272727,0.8,-0.07272727272727264
banana,Banane,green,grün,"['green', 'viridity', 'greenness']",7.0,1.0,55.0,20.0,0.12727272727272726,0.05,-0.07727272727272726
flame,Feuer,red,rot,"['red', 'redness']",7.0,2.0,23.0,9.0,0.30434782608695654,0.2222222222222222,-0.08212560386473433
coconut,Kokos,brown,braun,"['brown', 'brownness', 'Aquilus']",20.0,3.0,80.0,19.0,0.25,0.15789473684210525,-0.09210526315789475
cauliflower,Blumenkohl,green,grün,"['green', 'viridity', 'greenness']",9.0,1.0,55.0,14.0,0.16363636363636364,0.07142857142857142,-0.09220779220779221
strawberry,Erdbeere,red,rot,"['red', 'redness']",45.0,9.0,45.0,10.0,1.0,0.9,-0.09999999999999998
ash,Asche,grey,grau,"['gray', 'grey', 'greyness', 'grayness']",14.0,8.0,14.0,9.0,1.0,0.8888888888888888,-0.11111111111111116
pen,Stift,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",14.0,1.0,41.0,5.0,0.34146341463414637,0.2,-0.14146341463414636
stone,Stein,grey,grau,"['gray', 'grey', 'greyness', 'grayness']",22.0,6.0,22.0,7.0,1.0,0.8571428571428571,-0.1428571428571429
leaf,Blatt,green,grün,"['green', 'viridity', 'greenness']",31.0,6.0,31.0,7.0,1.0,0.8571428571428571,-0.1428571428571429
cheese,Käse,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",8.0,4.0,19.0,15.0,0.42105263157894735,0.26666666666666666,-0.15438596491228068
leather,Leder,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",14.0,1.0,39.0,5.0,0.358974358974359,0.2,-0.15897435897435896
walnut,Walnuss,brown,braun,"['brown', 'brownness', 'Aquilus']",19.0,5.0,19.0,6.0,1.0,0.8333333333333334,-0.16666666666666663
sun,Sonne,yellow,gelb,"['yellow', 'yellowness']",52.0,5.0,52.0,6.0,1.0,0.8333333333333334,-0.16666666666666663
plate,Teller,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",10.0,3.0,20.0,9.0,0.5,0.3333333333333333,-0.16666666666666669
plate,Nummernschild,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",10.0,3.0,20.0,9.0,0.5,0.3333333333333333,-0.16666666666666669
brick,Ziegelstein,red,rot,"['red', 'redness']",14.0,8.0,28.0,24.0,0.5,0.3333333333333333,-0.16666666666666669
cheese,Käse,yellow,gelb,"['yellow', 'yellowness']",11.0,6.0,19.0,15.0,0.5789473684210527,0.4,-0.17894736842105263
sugar,Würfelzucker,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",25.0,6.0,50.0,19.0,0.5,0.3157894736842105,-0.1842105263157895
cream,Creme,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",6.0,5.0,12.0,16.0,0.5,0.3125,-0.1875
necklace,Kette,silver,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",26.0,1.0,83.0,8.0,0.3132530120481928,0.125,-0.18825301204819278
necklace,Halskette,silver,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",26.0,1.0,83.0,8.0,0.3132530120481928,0.125,-0.18825301204819278
hair,Haar,brown,braun,"['brown', 'brownness', 'Aquilus']",3.0,1.0,9.0,7.0,0.3333333333333333,0.14285714285714285,-0.19047619047619047
hair,Haar,red,rot,"['red', 'redness']",3.0,1.0,9.0,7.0,0.3333333333333333,0.14285714285714285,-0.19047619047619047
pig,Schweinchen,pink,rosa,"['rose', 'rosebush', 'pink']",31.0,4.0,31.0,5.0,1.0,0.8,-0.19999999999999996
paper,Papier,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",8.0,12.0,8.0,15.0,1.0,0.8,-0.19999999999999996
newspaper,Papier,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",11.0,12.0,11.0,15.0,1.0,0.8,-0.19999999999999996
toad,Kröte,green,grün,"['green', 'viridity', 'greenness']",19.0,2.0,31.0,5.0,0.6129032258064516,0.4,-0.2129032258064516
deer,Hirsch,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",5.0,1.0,12.0,5.0,0.4166666666666667,0.2,-0.21666666666666667
carrot,Mohrrübe,orange,orange,"['France Télécom', 'Orange S.A.', 'orangeness']",46.0,7.0,46.0,9.0,1.0,0.7777777777777778,-0.2222222222222222
watermelon,Wassermelone,green,grün,"['green', 'viridity', 'greenness']",18.0,6.0,30.0,16.0,0.6,0.375,-0.22499999999999998
salmon,Lachs,pink,rosa,"['rose', 'rosebush', 'pink']",18.0,5.0,21.0,8.0,0.8571428571428571,0.625,-0.2321428571428571
bear,Bär,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",21.0,2.0,54.0,14.0,0.3888888888888889,0.14285714285714285,-0.24603174603174605
necklace,Halskette,gold,gold,"['Au', 'amber', 'golden brown']",31.0,1.0,83.0,8.0,0.37349397590361444,0.125,-0.24849397590361444
tongue,Zunge,pink,rosa,"['rose', 'rosebush', 'pink']",3.0,2.0,6.0,8.0,0.5,0.25,-0.25
fire,Feuer,red,rot,"['red', 'redness']",46.0,2.0,95.0,9.0,0.4842105263157895,0.2222222222222222,-0.26198830409356727
pumpkin,Kürbis,orange,orange,"['France Télécom', 'Orange S.A.', 'orangeness']",68.0,5.0,68.0,7.0,1.0,0.7142857142857143,-0.2857142857142857
pen,Stift,blue,blau,"['blue', 'blueness']",22.0,1.0,41.0,5.0,0.5365853658536586,0.2,-0.33658536585365856
raspberry,Himbeere,red,rot,"['red', 'redness']",36.0,4.0,39.0,7.0,0.9230769230769231,0.5714285714285714,-0.35164835164835173
blueberry,Heidelbeere,blue,lila,"['purpleness', 'purple', 'violet', 'reddish blue']",27.0,1.0,54.0,9.0,0.5,0.1111111111111111,-0.3888888888888889
plant,Anlage,green,grün,"['green', 'viridity', 'greenness']",54.0,1.0,108.0,10.0,0.5,0.1,-0.4
tea,Tee,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",3.0,1.0,5.0,6.0,0.6,0.16666666666666666,-0.43333333333333335
straw,Strohhalm,yellow,gelb,"['yellow', 'yellowness']",48.0,1.0,96.0,19.0,0.5,0.05263157894736842,-0.4473684210526316
meat,Fleisch,red,rot,"['red', 'redness']",15.0,2.0,15.0,5.0,1.0,0.4,-0.6
frog,Kröte,green,grün,"['green', 'viridity', 'greenness']",26.0,2.0,26.0,5.0,1.0,0.4,-0.6
spoon,Löffel,silver,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",12.0,2.0,12.0,6.0,1.0,0.3333333333333333,-0.6666666666666667
bull,Bulle,red,rot,"['red', 'redness']",5.0,1.0,5.0,7.0,1.0,0.14285714285714285,-0.8571428571428572
