concept_en,concept_ja,feature_en_en,feature_ja,feature_ja_en,freq_en,freq_ja,total_en,total_other,frac_en,frac_ja,diff
ghost,ghost,white,白,"['whiteness', 'white', 'colorimetric whiteness']",7.0,2.0,12.0,19.0,0.5833333333333334,0.10526315789473684,-0.47807017543859653
dracula,dracula,pale,,,7.0,0.0,14.0,15.0,0.5,0.0,-0.5
balloon,balloon,colourful,,,8.0,0.0,16.0,14.0,0.5,0.0,-0.5
key,key,gold,,,7.0,0.0,12.0,8.0,0.5833333333333334,0.0,-0.5833333333333334
salmon,salmon,pink,ピンク,"['P!nk', 'Pink', 'pink']",18.0,2.0,23.0,17.0,0.782608695652174,0.11764705882352941,-0.6649616368286445
comic,comic,looks_colourful,,,5.0,0.0,7.0,6.0,0.7142857142857143,0.0,-0.7142857142857143
water,water,clear,,,12.0,0.0,16.0,16.0,0.75,0.0,-0.75
towel,towel,different_colours,,,9.0,0.0,12.0,6.0,0.75,0.0,-0.75
fence,fence,white,,,17.0,0.0,22.0,16.0,0.7727272727272727,0.0,-0.7727272727272727
pumpkin,pumpkin,orange,オレンジ色,"['orangeness', 'orange']",68.0,7.0,69.0,35.0,0.9855072463768116,0.2,-0.7855072463768116
butterfly,butterfly,colourful,,,15.0,0.0,17.0,5.0,0.8823529411764706,0.0,-0.8823529411764706
pencil,pencil,yellow,,,18.0,0.0,20.0,13.0,0.9,0.0,-0.9
